polar and equatorial radii for Neptune's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric Voyager wind profile from Tollefson et al. (2018, Icarus 311) Table 1.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the Jacobson (2009, AJ 137) error ellipsoid,
followed by direct integration of Equation (3) from the Voyager 2 occultation point reported in Lindal (1992, AJ 103) to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
  267      24283.50876      24763.58480   3.50844985e-03  -3.65697453e-05   2.66049319e-06
  268      24283.50467      24763.55452   3.50918573e-03  -3.55525925e-05   7.42436739e-07
  269      24283.48954      24763.57410   3.50890194e-03  -3.60460696e-05   2.03418191e-06
  270      24283.42846      24763.55127   3.51004556e-03  -3.45819964e-05   1.15158011e-06
  271      24283.47569      24763.55496   3.50946187e-03  -3.53008864e-05   8.88927531e-07
  272      24283.44060      24763.58579   3.50911436e-03  -3.57329820e-05   3.49882230e-06
  273      24283.51998      24763.53469   3.50964910e-03  -3.50171721e-05  -7.60664747e-07
  274      24283.46628      24763.56440   3.50943216e-03  -3.53766595e-05   1.68593704e-06
  275      24283.45640      24763.55940   3.50953513e-03  -3.51565822e-05   1.51265806e-06
  276      24283.49662      24763.54639   3.50956930e-03  -3.52041795e-05   9.87865089e-08
  277      24283.48592      24763.55359   3.50942323e-03  -3.52837366e-05   8.53641817e-07
  278      24283.44977      24763.55177   3.50987801e-03  -3.48293147e-05   9.32764847e-07
  279      24283.50484      24763.56355   3.50918197e-03  -3.58425532e-05   1.00422314e-06
  280      24283.46371      24763.57411   3.50909895e-03  -3.57338887e-05   2.39207013e-06
  281      24283.42929      24763.57451   3.50949680e-03  -3.53367212e-05   2.65336518e-06
  282      24283.47035      24763.55858   3.50959949e-03  -3.51954317e-05   1.25038222e-06
  283      24283.48514      24763.54556   3.50977505e-03  -3.49730881e-05   1.88296767e-07
  284      24283.49748      24763.54803   3.50958246e-03  -3.52081428e-05   2.27320536e-07
  285      24283.41946      24763.55787   3.51030616e-03  -3.44591714e-05   1.64306731e-06
  286      24283.47554      24763.56381   3.50931351e-03  -3.54986413e-05   1.55585584e-06
  287      24283.48510      24763.56053   3.50912087e-03  -3.55666958e-05   1.39643028e-06
  288      24283.49144      24763.56635   3.50911741e-03  -3.56999691e-05   1.67829408e-06
  289      24283.64029      24763.53470   3.50884287e-03  -3.60975985e-05  -1.80096839e-06
  290      24283.37176      24763.58276   3.50994911e-03  -3.47906930e-05   3.90606639e-06
  291      24283.48801      24763.55017   3.50965034e-03  -3.51265148e-05   5.00961102e-07
  292      24283.52644      24763.55175   3.50908511e-03  -3.57202618e-05   2.74053356e-07
  293      24283.45828      24763.57405   3.50930560e-03  -3.56108440e-05   2.32401580e-06
  294      24283.44892      24763.55919   3.50972818e-03  -3.50135744e-05   1.49528459e-06
  295      24283.44535      24763.56578   3.50951519e-03  -3.52903343e-05   1.87353188e-06
  296      24283.45433      24763.56415   3.50960271e-03  -3.52307414e-05   1.70609446e-06
