polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the composite asymmetric wind profile from Sromovsky et al. (2015, Icarus 258) Section 4.5 and Table 6.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index   r_pol_north_km   r_pol_south_km          r_eq_km              lnp
  305        24973.682        24968.303        25561.560       -7.983e-01
  306        24965.559        24960.186        25552.876       -7.292e-01
  307        24965.079        24959.707        25552.363       -9.137e-01
  308        24968.926        24963.552        25556.476       -2.641e-02
  309        24973.663        24968.284        25561.540       -7.914e-01
  310        24968.222        24962.848        25555.723       -8.771e-02
  311        24965.817        24960.445        25553.153       -6.384e-01
  312        24968.807        24963.432        25556.348       -3.363e-02
  313        24973.663        24968.284        25561.540       -7.914e-01
  314        24970.201        24964.825        25557.839       -3.068e-02
  315        24966.746        24961.372        25554.145       -3.632e-01
  316        24969.279        24963.903        25556.853       -1.274e-02
  317        24973.311        24967.934        25561.164       -6.640e-01
  318        24969.744        24964.369        25557.351       -1.209e-02
  319        24966.746        24961.372        25554.145       -3.632e-01
  320        24969.321        24963.945        25556.899       -1.186e-02
  321        24973.311        24967.934        25561.164       -6.640e-01
  322        24969.587        24964.211        25557.183       -1.010e-02
  323        24967.838        24962.465        25555.314       -1.401e-01
  324        24970.521        24965.144        25558.181       -5.505e-02
  325        24971.421        24966.044        25559.143       -1.737e-01
  326        24970.452        24965.075        25558.107       -4.899e-02
  327        24967.722        24962.348        25555.189       -1.587e-01
  328        24970.538        24965.162        25558.200       -5.665e-02
  329        24970.942        24965.566        25558.632       -1.014e-01
  330        24970.415        24965.039        25558.068       -4.597e-02
  331        24967.722        24962.348        25555.189       -1.587e-01
  332        24970.692        24965.316        25558.364       -7.196e-02
  333        24971.025        24965.648        25558.720       -1.124e-01
  334        24970.349        24964.974        25557.998       -4.083e-02
  335        24968.914        24963.539        25556.463       -2.712e-02
  336        24970.426        24965.049        25558.079       -4.682e-02
  337        24970.805        24965.429        25558.486       -8.462e-02
  338        24970.187        24964.812        25557.825       -2.985e-02
  339        24969.498        24964.122        25557.088       -9.969e-03
  340        24970.559        24965.183        25558.222       -5.858e-02
  341        24970.867        24965.490        25558.551       -9.199e-02
  342        24971.354        24965.977        25559.072       -1.625e-01
  343        24968.379        24963.004        25555.891       -7.013e-02
  344        24970.690        24965.314        25558.362       -7.176e-02
  345        24970.867        24965.490        25558.551       -9.199e-02
  346        24971.021        24965.645        25558.716       -1.119e-01
  347        24967.894        24962.520        25555.373       -1.317e-01
  348        24970.746        24965.370        25558.423       -7.791e-02
  349        24970.965        24965.589        25558.656       -1.044e-01
  350        24972.390        24967.012        25560.179       -3.842e-01
  351        24966.398        24961.024        25553.773       -4.572e-01
  352        24970.036        24964.661        25557.664       -2.181e-02
  353        24970.593        24965.216        25558.258       -6.183e-02
  354        24973.542        24968.164        25561.412       -7.465e-01
  355        24968.344        24962.969        25555.854       -7.387e-02
  356        24967.294        24961.921        25554.731       -2.378e-01
  357        24970.926        24965.549        25558.615       -9.939e-02
  358        24973.542        24968.164        25561.412       -7.465e-01
  359        24968.348        24962.973        25555.858       -7.343e-02
  360        24968.055        24962.681        25555.545       -1.089e-01
  361        24970.345        24964.969        25557.993       -4.052e-02
  362        24972.391        24967.013        25560.180       -3.844e-01
  363        24968.347        24962.973        25555.857       -7.350e-02
  364        24967.889        24962.515        25555.368       -1.324e-01
  365        24969.400        24964.025        25556.983       -1.067e-02
  366        24971.859        24966.481        25559.612       -2.584e-01
  367        24967.814        24962.440        25555.288       -1.439e-01
  368        24968.767        24963.393        25556.307       -3.626e-02
  369        24969.986        24964.611        25557.610       -1.957e-02
  370        24971.375        24965.998        25559.094       -1.660e-01
  371        24967.762        24962.388        25555.232       -1.522e-01
  372        24968.767        24963.393        25556.307       -3.626e-02
  373        24969.166        24963.790        25556.733       -1.589e-02
  374        24970.808        24965.432        25558.489       -8.497e-02
  375        24966.623        24961.250        25554.014       -3.952e-01
  376        24970.393        24965.017        25558.045       -4.421e-02
  377        24969.729        24964.354        25557.335       -1.180e-02
  378        24972.137        24966.759        25559.909       -3.211e-01
  379        24966.738        24961.365        25554.138       -3.651e-01
  380        24970.222        24964.845        25557.861       -3.198e-02
  381        24970.039        24964.663        25557.666       -2.191e-02
  382        24973.012        24967.633        25560.844       -5.648e-01
  383        24967.565        24962.191        25555.021       -1.857e-01
  384        24970.332        24964.955        25557.979       -3.952e-02
  385        24970.001        24964.626        25557.626       -2.022e-02
  386        24975.707        24970.327        25563.726       -1.755e+00
  387        24967.764        24962.390        25555.234       -1.519e-01
  388        24970.236        24964.859        25557.877       -3.289e-02
  389        24970.735        24965.359        25558.410       -7.664e-02
  390        24975.707        24970.327        25563.726       -1.755e+00
  391        24971.368        24965.990        25559.086       -1.647e-01
  392        24970.351        24964.974        25557.999       -4.094e-02
  393        24967.964        24962.589        25555.447       -1.216e-01
  394        24975.413        24970.032        25563.411       -1.592e+00
  395        24971.682        24966.304        25559.422       -2.220e-01
  396        24969.012        24963.637        25556.568       -2.203e-02
  397        24968.994        24963.618        25556.549       -2.291e-02
  398        24975.413        24970.032        25563.411       -1.592e+00
  399        24969.848        24964.472        25557.462       -1.465e-02
  400        24966.674        24961.301        25554.069       -3.816e-01
  401        24968.569        24963.194        25556.094       -5.184e-02
  402        24975.413        24970.032        25563.411       -1.592e+00
  403        24970.098        24964.722        25557.729       -2.483e-02
  404        24965.815        24960.444        25553.150       -6.392e-01
  405        24969.872        24964.496        25557.487       -1.536e-02
  406        24975.937        24970.556        25563.971       -1.887e+00
  407        24970.098        24964.722        25557.729       -2.483e-02
  408        24965.815        24960.444        25553.150       -6.392e-01
  409        24969.750        24964.375        25557.357       -1.221e-02
  410        24974.360        24968.979        25562.284       -1.076e+00
  411        24970.035        24964.658        25557.661       -2.171e-02
  412        24965.026        24959.654        25552.307       -9.352e-01
  413        24969.749        24964.374        25557.356       -1.219e-02
  414        24974.360        24968.979        25562.284       -1.076e+00
  415        24970.035        24964.658        25557.661       -2.171e-02
  416        24966.920        24961.547        25554.332       -3.203e-01
  417        24969.651        24964.275        25557.251       -1.063e-02
  418        24973.572        24968.193        25561.443       -7.575e-01
  419        24967.770        24962.396        25555.240       -1.509e-01
