polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the polar and equatorial radii in this file come from random draws in j2 and j4 from the French et al. (2024, Icarus 411) error ellipsoid,
followed by direct integration of Equation (3) from one of the Voyager 2 radio points reported in Lindal et al. 1987 to either the equator or the pole.
index         r_pol_km          r_eq_km               j2               j4               j6
  273      24968.87596      25556.62027   3.50922207e-03  -3.55416883e-05   7.94209803e-07
  274      24968.92490      25556.61989   3.50905056e-03  -3.58554754e-05  -2.09117119e-07
  275      24968.75390      25556.62176   3.50932013e-03  -3.54964723e-05   4.23714437e-06
  276      24968.82762      25556.62034   3.50986337e-03  -3.49571988e-05   1.15629005e-06
  277      24968.88055      25556.62018   3.50932828e-03  -3.55528852e-05   5.58298109e-07
  278      24968.82907      25556.62057   3.50965021e-03  -3.52603035e-05   1.55283235e-06
  279      24968.90172      25556.62022   3.50896345e-03  -3.59022624e-05   5.34968253e-07
  280      24968.81215      25556.62045   3.50991379e-03  -3.48283580e-05   1.46132053e-06
  281      24968.92652      25556.61953   3.50938196e-03  -3.54042018e-05  -8.75656343e-07
  282      24968.95345      25556.61957   3.50893161e-03  -3.58271846e-05  -9.13803924e-07
  283      24968.89695      25556.61956   3.50973088e-03  -3.49997981e-05  -6.37777064e-07
  284      24968.80194      25556.62070   3.50976749e-03  -3.49330588e-05   2.01878958e-06
  285      24968.81817      25556.62074   3.50941283e-03  -3.51396190e-05   2.06565567e-06
  286      24968.98131      25556.61969   3.50850051e-03  -3.64304475e-05  -8.96467842e-07
  287      24968.82522      25556.62069   3.50946862e-03  -3.52577209e-05   1.86845752e-06
  288      24968.87476      25556.62000   3.50955349e-03  -3.51883253e-05   3.06939322e-07
  289      24968.85679      25556.62024   3.50957051e-03  -3.52248402e-05   8.23348410e-07
  290      24968.83977      25556.62098   3.50893684e-03  -3.58143728e-05   2.34133327e-06
  291      24968.86071      25556.62031   3.50939343e-03  -3.53673569e-05   9.46400221e-07
  292      24968.87001      25556.62028   3.50931972e-03  -3.54881368e-05   8.25809747e-07
  293      24968.90367      25556.61998   3.50920320e-03  -3.56071345e-05   9.43434665e-08
  294      24968.94880      25556.61933   3.50937249e-03  -3.55555777e-05  -1.42152165e-06
  295      24968.85416      25556.62038   3.50942315e-03  -3.53737340e-05   1.09696112e-06
  296      24968.88310      25556.62066   3.50878690e-03  -3.61447532e-05   1.44690907e-06
  297      24968.89160      25556.62010   3.50919811e-03  -3.55421688e-05   4.10557138e-07
