polar and equatorial radii for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
the models summarized in this file assume the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation 2.
the distribution of models in this file comes from Markov chain Monte Carlo fits to the pair of Voyager 2 radio occultations reported in Lindal et al. 1987.
index         r_pol_km          r_eq_km              lnp 
  526        24969.296        25558.036       -4.360e-02
  527        24973.705        25562.751       -1.278e+00
  528        24970.667        25559.503       -2.372e-01
  529        24965.717        25554.210       -3.479e-01
  530        24970.360        25559.174       -1.789e-01
  531        24972.486        25561.447       -7.590e-01
  532        24970.845        25559.693       -2.748e-01
  533        24966.494        25555.041       -1.824e-01
  534        24970.451        25559.271       -1.952e-01
  535        24971.629        25560.530       -4.753e-01
  536        24970.994        25559.852       -3.086e-01
  537        24965.117        25553.568       -5.137e-01
  538        24970.453        25559.274       -1.956e-01
  539        24970.469        25559.290       -1.985e-01
  540        24970.994        25559.852       -3.086e-01
  541        24965.117        25553.568       -5.137e-01
  542        24970.362        25559.176       -1.792e-01
  543        24970.553        25559.381       -2.145e-01
  544        24970.994        25559.852       -3.086e-01
  545        24967.825        25556.464       -2.703e-02
  546        24970.575        25559.404       -2.187e-01
  547        24970.637        25559.470       -2.311e-01
  548        24970.870        25559.720       -2.804e-01
  549        24968.110        25556.768       -1.481e-02
  550        24970.659        25559.494       -2.356e-01
  551        24970.630        25559.463       -2.297e-01
  552        24970.820        25559.666       -2.693e-01
  553        24967.932        25556.578       -2.155e-02
  554        24970.673        25559.509       -2.384e-01
  555        24969.680        25558.447       -8.052e-02
  556        24972.193        25561.134       -6.543e-01
  557        24968.990        25557.710       -2.390e-02
  558        24971.179        25560.050       -3.534e-01
  559        24970.112        25558.908       -1.380e-01
  560        24972.193        25561.134       -6.543e-01
  561        24968.833        25557.541       -1.707e-02
  562        24971.318        25560.198       -3.890e-01
  563        24970.764        25559.606       -2.573e-01
  564        24973.367        25562.389       -1.120e+00
  565        24970.354        25559.168       -1.778e-01
  566        24971.478        25560.370       -4.324e-01
  567        24971.017        25559.876       -3.140e-01
  568        24973.367        25562.389       -1.120e+00
  569        24969.972        25558.760       -1.176e-01
  570        24971.411        25560.298       -4.141e-01
  571        24971.589        25560.488       -4.637e-01
  572        24971.939        25560.862       -5.702e-01
  573        24969.082        25557.808       -2.892e-02
  574        24971.448        25560.337       -4.241e-01
  575        24971.530        25560.425       -4.471e-01
  576        24972.052        25560.983       -6.070e-01
  577        24969.127        25557.856       -3.167e-02
  578        24971.469        25560.359       -4.298e-01
  579        24971.610        25560.510       -4.698e-01
  580        24972.879        25561.868       -9.115e-01
  581        24969.393        25558.140       -5.166e-02
  582        24970.984        25559.841       -3.062e-01
  583        24971.184        25560.055       -3.545e-01
  584        24974.280        25563.365       -1.570e+00
  585        24968.649        25557.344       -1.196e-02
  586        24970.984        25559.841       -3.062e-01
