shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.244781 -3.599057 -0.117234  0.852378  0.289859 -0.249673 -0.272671 -0.021675  0.086471  0.036530
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -0.7244897959     0.8102939134    46.4264214035    47.7846532134     0.0237056171     0.0001133961 25270.1925788492
   -0.7224489796     0.8073377312    46.2570446372    47.6134740368     0.0236741591     0.0001132636 25271.9626873947
   -0.7204081633     0.8043906520    46.0881894401    47.4427792627     0.0236420524     0.0001131319 25273.7251000347
   -0.7183673469     0.8014525670    45.9198495701    47.2725639110     0.0236093191     0.0001130008 25275.4798478207
   -0.7163265306     0.7985233692    45.7520188977    47.1028230426     0.0235759799     0.0001128704 25277.2269622921
   -0.7142857143     0.7956029535    45.5846914028    46.9335518650     0.0235420562     0.0001127408 25278.9664754579
   -0.7122448980     0.7926912167    45.4178611722    46.7647456478     0.0235075687     0.0001126119 25280.6984197771
   -0.7102040816     0.7897880574    45.2515223968    46.5963997207     0.0234725373     0.0001124839 25282.4228281416
   -0.7081632653     0.7868933760    45.0856693690    46.4285094713     0.0234369811     0.0001123567 25284.1397338585
   -0.7061224490     0.7840070746    44.9202964804    46.2610703433     0.0234009184     0.0001122303 25285.8491706346
   -0.7040816327     0.7811290570    44.7553982192    46.0940778351     0.0233643669     0.0001121049 25287.5511725596
   -0.7020408163     0.7782592286    44.5909691678    45.9275274980     0.0233273435     0.0001119803 25289.2457740919
   -0.7000000000     0.7753974966    44.4270040008    45.7614149346     0.0232898644     0.0001118566 25290.9330100437
   -0.6979591837     0.7725437695    44.2634974825    45.5957357980     0.0232519450     0.0001117339 25292.6129155673
   -0.6959183673     0.7696979575    44.1004444649    45.4304858264     0.0232136009     0.0001116121 25294.2855261416
   -0.6938775510     0.7668599722    43.9378398857    45.2656621919     0.0231748711     0.0001114914 25295.9508775594
   -0.6918367347     0.7640297268    43.7756787663    45.1012593845     0.0231357463     0.0001113717 25297.6090059151
   -0.6897959184     0.7612071357    43.6139562096    44.9372732403     0.0230962392     0.0001112530 25299.2599475932
   -0.6877551020     0.7583921149    43.4526673983    44.7736996395     0.0230563621     0.0001111354 25300.9037392564
   -0.6857142857     0.7555845816    43.2918075933    44.6105345059     0.0230161266     0.0001110187 25302.5404178352
   -0.6836734694     0.7527844546    43.1313721313    44.4477738059     0.0229755435     0.0001109031 25304.1700202652
   -0.6816326531     0.7499916536    42.9713564236    44.2854135476     0.0229346234     0.0001107885 25305.7925810107
   -0.6795918367     0.7472061000    42.8117559545    44.1234497808     0.0228933760     0.0001106750 25307.4081366560
   -0.6775510204     0.7444277160    42.6525662790    43.9618785961     0.0228518109     0.0001105626 25309.0167243393
   -0.6755102041     0.7416564254    42.4937830220    43.8006975957     0.0228099624     0.0001104513 25310.6183808719
   -0.6734693878     0.7388921529    42.3354018762    43.6399023794     0.0227678289     0.0001103411 25312.2131427434
   -0.6714285714     0.7361348246    42.1774186009    43.4794883687     0.0227254045     0.0001102320 25313.8010461269
   -0.6693877551     0.7333843675    42.0198290204    43.3194518026     0.0226826966     0.0001101240 25315.3821268846
   -0.6673469388     0.7306407100    41.8626290228    43.1597889585     0.0226397118     0.0001100171 25316.9564205722
   -0.6653061224     0.7279037813    41.7058145582    43.0004961517     0.0225964566     0.0001099112 25318.5239624444
   -0.6632653061     0.7251735117    41.5493816378    42.8415697356     0.0225529369     0.0001098064 25320.0847874592
   -0.6612244898     0.7224498329    41.3933263324    42.6830061006     0.0225091583     0.0001097027 25321.6389302831
   -0.6591836735     0.7197326770    41.2376447712    42.5248037147     0.0224651616     0.0001096002 25323.1864252956
   -0.6571428571     0.7170219777    41.0823331405    42.3669578436     0.0224209307     0.0001094988 25324.7273065937
   -0.6551020408     0.7143176693    40.9273876824    42.2094642113     0.0223764567     0.0001093984 25326.2616079960
   -0.6530612245     0.7116196872    40.7728046940    42.0523193447     0.0223317435     0.0001092992 25327.7893630480
   -0.6510204082     0.7089279677    40.6185805260    41.8955198072     0.0222867948     0.0001092009 25329.3106050253
   -0.6489795918     0.7062424480    40.4647115813    41.7390621983     0.0222416141     0.0001091038 25330.8253669387
   -0.6469387755     0.7035630662    40.3111943147    41.5829431533     0.0221962045     0.0001090076 25332.3336815375
   -0.6448979592     0.7008897614    40.1580252311    41.4271614522     0.0221506057     0.0001089127 25333.8355813144
   -0.6428571429     0.6982224734    40.0052008849    41.2717127532     0.0221048021     0.0001088188 25335.3310985086
   -0.6408163265     0.6955611429    39.8527178787    41.1165927566     0.0220587780     0.0001087259 25336.8202651104
   -0.6387755102     0.6929057114    39.7005728628    40.9617982293     0.0220125353     0.0001086340 25338.3031128646
   -0.6367346939     0.6902561213    39.5487625338    40.8073259733     0.0219660759     0.0001085432 25339.7796717919
   -0.6346938776     0.6876123158    39.3972836338    40.6531728258     0.0219194014     0.0001084533 25341.2499712899
   -0.6326530612     0.6849742386    39.2461329497    40.4993363606     0.0218725257     0.0001083645 25342.7140418120
   -0.6306122449     0.6823418347    39.0953073120    40.3458153908     0.0218254833     0.0001082767 25344.1719132795
   -0.6285714286     0.6797150493    38.9448035941    40.1926042324     0.0217782295     0.0001081899 25345.6236150905
   -0.6265306122     0.6770938286    38.7946187117    40.0396998514     0.0217307653     0.0001081041 25347.0691761292
   -0.6244897959     0.6744781195    38.6447496216    39.8870992484     0.0216830914     0.0001080192 25348.5086247760
   -0.6224489796     0.6718678696    38.4951933211    39.7347994581     0.0216352085     0.0001079352 25349.9419889160
   -0.6204081633     0.6692630273    38.3459468472    39.5827981989     0.0215871284     0.0001078522 25351.3692959485
   -0.6183673469     0.6666635414    38.1970072760    39.4310946212     0.0215388874     0.0001077702 25352.7905727955
   -0.6163265306     0.6640693616    38.0483717214    39.2796831132     0.0214904379     0.0001076891 25354.2058459103
   -0.6142857143     0.6614804381    37.9000373354    39.1285608362     0.0214417800     0.0001076089 25355.6151412859
   -0.6122448980     0.6588967220    37.7520013062    38.9777249848     0.0213929139     0.0001075296 25357.0184844628
   -0.6102040816     0.6563181648    37.6042608584    38.8271727868     0.0213438396     0.0001074510 25358.4159005375
