shape model output for Uranus's 1-bar isobaric surface. models are described in Mankovich et al. 2026, PSJ.
this model assumes the symmetric wind profile from Sromovsky et al. (2015, Icarus 258) Equation (2).
these solutions vary the polar radius to fit the pair of Voyager 2 occultations reported in Lindal et al. 1987 to a Gaussian standard deviation of 50 m.
the wind fit spectral coefficients are also allowed to vary within their Gaussian uncertainties following S15 Table 5 (Fit 1).
this model has l=0,2,..., 18 wind spectral cofficients:  -1.235650 -3.623158 -0.106032  0.834220  0.279658 -0.147820 -0.233746  0.041517  0.097552 -0.030411
mu=sin(phi), phi [radians], and lat_deg [degrees] refer to planetocentric latitude; lat_pg_deg gives planetographic latitude in degrees.
              mu          phi_rad          lat_deg       lat_pg_deg          psi_rad    omega_rad_s-1             r_km 
   -0.9346938776     1.2073968710    69.1787449051    70.1555447776     0.0170483739     0.0001213507 25049.0014222758
   -0.9326530612     1.2016980990    68.8522293213    69.8417773630     0.0172708714     0.0001213477 25051.4513234471
   -0.9306122449     1.1960820730    68.5304547326    69.5324439168     0.0174880103     0.0001213442 25053.8968249511
   -0.9285714286     1.1905451201    68.2132107017    69.2273448183     0.0176999794     0.0001213401 25056.3379017193
   -0.9265306122     1.1850838286    67.9003017483    68.9262938381     0.0179069401     0.0001213354 25058.7745276382
   -0.9244897959     1.1796950225    67.5915459031    68.6291186363     0.0181090604     0.0001213299 25061.2066757206
   -0.9224489796     1.1743757395    67.2867734365    68.3356581976     0.0183064926     0.0001213238 25063.6343182514
   -0.9204081633     1.1691232113    66.9858257369    68.0457612714     0.0184993649     0.0001213168 25066.0574269114
   -0.9183673469     1.1639348463    66.6885543185    67.7592863275     0.0186877990     0.0001213090 25068.4759728778
   -0.9163265306     1.1588082142    66.3948199388    67.4761018778     0.0188719300     0.0001213004 25070.8899214390
   -0.9142857143     1.1537410325    66.1044918138    67.1960821991     0.0190518463     0.0001212908 25073.2992376060
   -0.9122448980     1.1487311539    65.8174469161    66.9191106043     0.0192276586     0.0001212803 25075.7038885871
   -0.9102040816     1.1437765557    65.5335693460    66.6450772590     0.0193994727     0.0001212687 25078.1038388595
   -0.9081632653     1.1388753294    65.2527497676    66.3738759053     0.0195673424     0.0001212560 25080.4990504951
   -0.9061224490     1.1340256726    64.9748848997    66.1054107707     0.0197313987     0.0001212423 25082.8894834469
   -0.9040816327     1.1292258803    64.6998770572    65.8395850920     0.0198916577     0.0001212272 25085.2750958014
   -0.9020408163     1.1244743380    64.4276337361    65.5763141164     0.0200482547     0.0001212110 25087.6558440023
   -0.9000000000     1.1197695150    64.1580672368    65.3155103953     0.0202011940     0.0001211934 25090.0316830478
   -0.8979591837     1.1151099586    63.8910943224    65.0570980179     0.0203506036     0.0001211746 25092.4025666656
   -0.8959183673     1.1104942885    63.6266359071    64.8009970573     0.0204964687     0.0001211542 25094.7684474685
   -0.8938775510     1.1059211919    63.3646167727    64.5471402167     0.0206389276     0.0001211326 25097.1292770925
   -0.8918367347     1.1013894190    63.1049653087    64.2954535375     0.0207779393     0.0001211093 25099.4850063197
   -0.8897959184     1.0968977787    62.8476132749    64.0458765544     0.0209136395     0.0001210845 25101.8355851877
   -0.8877551020     1.0924451350    62.5924955840    63.7983433944     0.0210460146     0.0001210582 25104.1809630871
   -0.8857142857     1.0880304035    62.3395501007    63.5527959577     0.0211751348     0.0001210302 25106.5210881677
   -0.8836734694     1.0836525480    62.0887174586    63.3091785015     0.0213010636     0.0001210006 25108.8559045689
   -0.8816326531     1.0793105778    61.8399408902    63.0674321441     0.0214237639     0.0001209692 25111.1853571644
   -0.8795918367     1.0750035447    61.5931660703    62.8275100119     0.0215433659     0.0001209362 25113.5093902176
   -0.8775510204     1.0707305406    61.3483409720    62.5893589240     0.0216598493     0.0001209013 25115.8279471302
   -0.8755102041     1.0664906953    61.1054157324    62.3529307640     0.0217732448     0.0001208645 25118.1409705378
   -0.8734693878     1.0622831742    60.8643425293    62.1181829790     0.0218836441     0.0001208261 25120.4484023968
   -0.8714285714     1.0581071761    60.6250754655    61.8850674654     0.0219910089     0.0001207856 25122.7501840634
   -0.8693877551     1.0539619319    60.3875704629    61.6535430594     0.0220953900     0.0001207432 25125.0462563642
   -0.8673469388     1.0498467020    60.1517851626    61.4235718919     0.0221968658     0.0001206990 25127.3365596605
   -0.8653061224     1.0457607758    59.9176788330    61.1951120212     0.0222954151     0.0001206528 25129.6210339067
